word,definition
sastruga,long parallel ridges of snow that form on windy plains
satanology,study of the devil
satanophany,an appearance of the devil
satanophobia,fear of the devil
satara,ribbed lustred wool
sateen,glossy cotton or wool
satinet,thin silk satin or imitation thereof
satisdation,provision of security
satisfice,to aim for or achieve that which will suffice
sative,cultivated
satnav,satellite-assisted navigation
saturnalian,riotously merry
saturnine,of a gloomy or surly disposition; sardonic
saturnism,lead poisoning
satyrism,uncontrolled licentiousness
satyromania,abnormally great male sexual desire; satyriasis
sauf,except for; excepting
saurophagous,eating lizards
sauterelle,mason's tool for making angles
sautoir,long necklace or pendant
saw,saying or proverb
sawder,to flatter
saxatile,rock-dwelling
saxhorn,brass instrument like a trumpet
saxicavous,rock-boring
saxicolous,living in or among rocks
saxifragous,breaking stone
saxigenous,growing in rocks
saxony,fine soft woollen fabric
say,delicate woollen fabric
scaberulous,somewhat scabrous or rough
scabious,of like or pertaining to scabies or scabs
scabrous,having scaly or rough surface; risqué or obscene
scacchic,of like or pertaining to chess
scaffmaster,steward
scagliola,stone-like plasterwork for interior decoration
scalariform,shaped like a ladder
scalary,formed with steps or rungs
scallion,onion with a slim bulb; leek
scallom,rod with thin or spliced end used to form base or frame of baskets
scalpeliform,shaped like a scalpel
scalpriform,shaped like a chisel
scalpture,art of engraving on metal or stone
scamander,to take a winding course; to meander
scambling,haphazard meal
scammony,plant root used as strong purgative
scandent,climbing
scanderoon,homing pigeon
scansorial,climbing; adapted for climbing
scantling,dimensions of a cross-section of timber; a small amount
scapegrace,scoundrel; incorrigible man or boy
scaphion,kind of sundial
scaphism,execution by deserting honey-covered person in the sun
scaphoid,boat-shaped
scapiform,shaped like a stalk
scapigerous,having a scape
scapple,to work smoothly without smoothing to a finish
scapular,badge of monastic order worn on the shoulders
scapulomancy,divination by examining burnt shoulder blade
scarabaean,of like or pertaining to scarabs
scaramouch,ruffian; scoundrel
scarfskin,surface skin
scarify,to scratch or scar
scarious,thin and tough
scarlatina,scarlet fever
scarlet,fine cloth
scarp,to make steep
scarpetti,climbing shoes with hemp soles
scarpines,instrument of torture for the feet
scatch,a stilt
scatebrous,flowing or bubbling out; abounding with springs
scatology,study of excrement or obscene literature
scatomancy,divination by studying excrement
scatophagous,dung-eating
scatoscopy,divination by studying excrement; scatomancy
scattery,dispersed; sparse
scaturient,flowing out; gushing
scaturiginous,abounding with springs
scauper,semicircular gouging chisel
scavage,refuse scavenged from the roads
scavager,officer in charge of keeping streets clean
scazon,limping verse
scelerat,villain
scelestic,wicked; villainous
scelotyrbe,disease causing hesitation in walking
scenography,representation of an object in perspective
scepsis,philosophic doubt
schadenfreude,malicious pleasure in others' misfortunes
schapska,flat-topped cavalry helmet
schediasm,impromptu action; an extemporized work
schematism,theory that categories derive from applying schemata to perceptions
schematomancy,divination using the human form
schematonics,art of using gesture to express tones
schesis,deriding opponent's argument by referring to his way of thought
schetic,of a disease not deeply rooted in the body
schiller,bronze lustre
schistous,formed of schist
schizogenesis,reproduction by division
schizotrichia,splitting of hair
schiztic,of like or pertaining to or marked by splitting
schmegeggy,nonsense; an idiot
schoenabatic,of like or pertaining to rope walking
schola,church choir led by a cantor
scholarch,head of a school
scholasticate,preparatory college for those intending to enter Catholic order
scholiast,commentator; writer of marginal notes
scholion,annotation to an argument written in margin
schorl,tourmaline
schottische,old polka-like round dance
schryari,old and very loud double-reed wind instrument
schwa,letter indicating a neutral vowel in unstressed syllables
schwärmerei,sentimental enthusiasm; wild devotion
schwerpunkt,point where main effort of a military attack is directed
sciagraphy,art of shading
scialytic,dispelling shadows
sciaphobia,fear of shadows
sciapodous,having large feet
sciatheric,of like or pertaining to measurement of time by shadows
sciatic,of like or pertaining to the hip
scible,that which is knowable
scientaster,petty scientist
scientism,belief that the methods of science are universally applicable
scilicet,to wit; namely
scincoid,of or resembling a skink
scintilla,hint; trace; spark
scintillant,sparkling
scintillescent,twinkling
scintillometer,instrument measuring scintillation of star
scintilloscope,instrument for measuring gamma rays emitted by a radioactive body
sciolism,superficial pretensions to knowledge
sciomancy,divination using ghosts
sciophilous,thriving in or loving shady conditions
scioptic,of like or pertaining to formation of images in darkrooms
sciosophy,system of knowledge without basis in science
scissel,metal clippings; scrap metal
scissile,able to be cut; readily splitting
scission,cutting; division; splitting
scissure,a cleft; a splitting; fissure; rupture
sciurine,of like or pertaining to squirrels
sciuroid,of like or pertaining to squirrels or chipmunks
sciuroid,shaped like a squirrel's tail
sclerodermous,hard-skinned
scleroid,hard; hardened
sclerometer,instrument measuring hardness
scobiform,like sawdust
scoliograptic,marked by oblique lines
scoliometer,instrument measuring curvature
scolopacine,of like or pertaining to snipes
sconce,small protective fortification or earthwork
scop,Anglo-Saxon poet and harpist
scopate,brush-like
scopic,visual
scopophilia,obtaining sexual pleasure from seeing things
scopophobia,fear of being looked at
scoptophobia,fear of being looked at
scopula,little tuft of hairs
scopulate,brush-like
scorbutic,of or suffering from scurvy
scoria,dross or slag from metal-smelting; slag-like mass of lava
scorify,to reduce to slag
scorpioid,scorpion-like; curved at the end
scortation,fornication
scoteography,writing in the dark or without sight
scotograph,instrument for writing without seeing
scotoma,dizziness with headache and impairment of vision
Scotophilia,admiration for Scotland or the Scots
scotophobia,fear of the dark
scotopia,vision in dim light or darkness
scotoscope,instrument for detecting objects in darkness
scranch,to crunch
scrannel,thin; meagre; squeaking
scree,sloping mass of loose rock at base of a cliff
screed,lengthy discourse; informal piece of writing
scribable,capable of being written upon
scribacious,given to writing
scribbleomania,obsession with scribbling
scride,to crawl on all fours
scrim,durable plain-woven cotton fabric
scrimshank,to evade work or duty
scrimure,fencer
scriniary,keeper of archives; archivist
scripophily,collection of bond and share certificates
scriptorium,writing room; room used by monastic scribes
scriptory,by in or pertaining to writing
scripturient,having a violent desire to write
scrivello,elephant's tusk
scrobiculate,having many small pits or depressions
scrobiculus,small depression or pit
scrotiform,shaped like a pouch
scrow,a scroll; writings
scrumpy,strong apple cider as made in western England
scruple,unit of weight used by apothecaries equal to 1/24 of an ounce
scrutator,close examiner
scruto,stage trap door
scud,to sail swiftly before a gale
scullion,mean; contemptible person
scumble,softening a painting using a dry brush
scuncheon,inner part of a door jamb or window frame
scupper,hole allowing water to drain from ship's deck
scurriour,scout
scutage,tax on a knight's fee
scutal,of like or pertaining to shields
scutch,to beat out impurities from flax or wool
scutellate,shaped like a platter
scutellation,arrangement of scales or plates on an animal's body
scutiform,shaped like a shield
scutiger,squire
scutigerous,bearing a shield or scales
scuttlebutt,cask of drinking water aboard a ship; rumour idle gossip
scuttles,portholes on a ship
scyphiform,shaped like a cup
scytodepsic,of like or pertaining to tanning leather
se,twenty-five-stringed Chinese zither
seacock,bold sea rover
seahog,porpoise
sealine,the sea horizon
sebaceous,of or like tallow
sebastomania,religious insanity
sebiferous,bearing fatty matter
secateurs,pruning-shears
secco,painting on dry plaster
secern,to discriminate or distinguish; to secrete
secodont,having cutting teeth
secque,lightweight clog
secreta,products of secretion
secretagogue,substance inducing or stimulating secretion
secretaire,writing desk
secretum,private seal
sectile,capable of being cut easily with a knife
sectiuncle,small section
secularism,theory that morality should not be governed by considerations of God
secund,on one side only
secundine,afterbirth
secundogeniture,custom where second-oldest child inherits property
secundum,according to
securiform,shaped like an axe
securigerous,bearing an axe
